year,forest_type,EQI_mean,EQI_median,EQI_std,EQI_q25,EQI_q75,valid_pixel_count,valid_area_km2
2000,all_forest,0.00108999,0.00097577,0.02990054,-0.01659238,0.0204984,28365846,25529.2614
2000,natural_forest,0.00131458,0.00097381,0.03368809,-0.02049971,0.02245395,15988261,14389.4349
2000,plantation_forest,0.0007999,0.00097764,0.02414106,-0.01463952,0.01659102,12377585,11139.8265
2001,all_forest,-0.0048605,-0.00488211,0.02929542,-0.02245116,0.01268655,28365874,25529.2866
2001,natural_forest,-0.00591121,-0.00683669,0.0333829,-0.0263558,0.01463941,15988289,14389.4601
2001,plantation_forest,-0.00350328,-0.0029306,0.02289151,-0.01854721,0.01073263,12377585,11139.8265
2002,all_forest,-0.00105754,0.00097769,0.02819767,-0.01854467,0.01659346,28365883,25529.2947
2002,natural_forest,-0.00266974,-0.00292921,0.03163434,-0.02245102,0.0185473,15988298,14389.4682
2002,plantation_forest,0.00102498,0.00293076,0.02284312,-0.01268259,0.01659295,12377585,11139.8265
2003,all_forest,-0.00250351,-0.00097467,0.02728375,-0.01854647,0.01463813,28364749,25528.2741
2003,natural_forest,-0.00343255,-0.00293022,0.03047014,-0.02244978,0.01463804,15987165,14388.4485
2003,plantation_forest,-0.00130353,-0.00097206,0.02245342,-0.01463804,0.01463822,12377584,11139.8256
2004,all_forest,-0.00381263,-0.00292774,0.02643829,-0.02049636,0.01268578,28365879,25529.2911
2004,natural_forest,-0.00680144,-0.00683385,0.02955784,-0.02440298,0.01073381,15988294,14389.4646
2004,plantation_forest,4.807e-05,0.00097551,0.02114004,-0.01268393,0.01463731,12377585,11139.8265
2005,all_forest,-0.00459676,-0.00195043,0.02713471,-0.0214483,0.01364188,28364618,25528.1562
2005,natural_forest,-0.00785057,-0.00585877,0.02934266,-0.02535803,0.00973968,15987034,14388.3306
2005,plantation_forest,-0.0003941,0.00097663,0.02332156,-0.01463722,0.01659147,12377584,11139.8256
2006,all_forest,0.0034089,0.00488082,0.02892803,-0.01463923,0.02245195,28365648,25529.0832
2006,natural_forest,0.00163157,0.00097604,0.03206373,-0.0185461,0.02245431,15988063,14389.2567
2006,plantation_forest,0.00570467,0.00683643,0.02409237,-0.01073281,0.02244966,12377585,11139.8265
2007,all_forest,-0.00381931,-0.00292982,0.02630438,-0.02049555,0.01268372,28365844,25529.2596
2007,natural_forest,-0.00593225,-0.00683484,0.02911825,-0.02440541,0.01268371,15988259,14389.4331
2007,plantation_forest,-0.00108999,-0.00097555,0.0218463,-0.01463664,0.01268373,12377585,11139.8265
2008,all_forest,0.00049989,0.00097912,0.02840901,-0.01659207,0.01854544,28365717,25529.1453
2008,natural_forest,-0.00080288,-0.00097645,0.03208505,-0.02049831,0.01854655,15988132,14389.3188
2008,plantation_forest,0.00218268,0.00293036,0.02268925,-0.01268336,0.01659129,12377585,11139.8265
2009,all_forest,-0.00242991,-0.00293009,0.02900543,-0.02049698,0.01463865,28363951,25527.5559
2009,natural_forest,-0.0037397,-0.00488514,0.03291457,-0.02440451,0.016593,15986366,14387.7294
2009,plantation_forest,-0.00073825,-0.00097545,0.02288256,-0.01463871,0.01463867,12377585,11139.8265
2010,all_forest,-0.00693191,-0.00488247,0.03181173,-0.02440452,0.01268716,28364984,25528.4856
2010,natural_forest,-0.00867282,-0.00683391,0.03682514,-0.03026925,0.01464174,15987458,14388.7122
2010,plantation_forest,-0.00468325,-0.00488374,0.02363371,-0.02049677,0.0107327,12377526,11139.7734
2011,all_forest,-0.00753376,-0.00488116,0.03175673,-0.0263573,0.0126866,28363515,25527.1635
2011,natural_forest,-0.01065756,-0.0087887,0.03592864,-0.03221892,0.01268756,15986238,14387.6142
2011,plantation_forest,-0.00349911,-0.002928,0.02479712,-0.01854497,0.01268573,12377277,11139.5493
2012,all_forest,0.00678081,0.00586334,0.03596354,-0.01363865,0.02925591,28211570,25390.413
2012,natural_forest,0.0078544,0.00586009,0.04089306,-0.01754368,0.03317257,15851756,14266.5804
2012,plantation_forest,0.0054039,0.00586641,0.0283566,-0.00972745,0.02535099,12359814,11123.8326
2013,all_forest,-0.0005473,-0.00097675,0.02897251,-0.01854542,0.01854492,28365888,25529.2992
2013,natural_forest,-0.00145903,-0.00293214,0.03164507,-0.0224535,0.01854575,15988303,14389.4727
2013,plantation_forest,0.0006304,0.00097623,0.02505361,-0.01463897,0.01659459,12377585,11139.8265
2014,all_forest,-0.00166771,-0.0009761,0.02879736,-0.01854394,0.01659251,28365874,25529.2866
2014,natural_forest,-0.0038338,-0.00293095,0.03218937,-0.02245205,0.01659304,15988289,14389.4601
2014,plantation_forest,0.00113028,0.00293172,0.02341338,-0.01268288,0.01659203,12377585,11139.8265
2015,all_forest,-0.00180267,-0.00097486,0.02888837,-0.01854393,0.0165905,28365889,25529.3001
2015,natural_forest,-0.00292525,-0.0029298,0.03237997,-0.0224527,0.01659137,15988304,14389.4736
2015,plantation_forest,-0.00035261,0.0009753,0.02354738,-0.01463598,0.01463871,12377585,11139.8265
2016,all_forest,0.00517777,0.00586295,0.03025801,-0.01362985,0.02535508,28365816,25529.2344
2016,natural_forest,0.00348619,0.00585864,0.03310701,-0.0175436,0.02535838,15988231,14389.4079
2016,plantation_forest,0.0073628,0.00878905,0.0259594,-0.0087778,0.02440513,12377585,11139.8265
2017,all_forest,0.00872683,0.00976563,0.03283514,-0.00972657,0.02925797,28365750,25529.175
2017,natural_forest,0.00928721,0.00976261,0.03707258,-0.01363667,0.03317176,15988165,14389.3485
2017,plantation_forest,0.00800299,0.00879114,0.02635479,-0.0068251,0.02440305,12377585,11139.8265
2018,all_forest,0.00150152,0.00293167,0.03239635,-0.01659104,0.02245253,28365887,25529.2983
2018,natural_forest,0.00029811,0.00097632,0.03629913,-0.02049776,0.02440804,15988302,14389.4718
2018,plantation_forest,0.00305599,0.00488408,0.02643719,-0.0126853,0.02049958,12377585,11139.8265
2019,all_forest,0.00905923,0.00879002,0.03064704,-0.00877887,0.02831119,28365778,25529.2002
2019,natural_forest,0.0096903,0.00878741,0.03421724,-0.01073375,0.0302648,15988193,14389.3737
2019,plantation_forest,0.00824408,0.01074281,0.02527709,-0.00682564,0.0244045,12377585,11139.8265
2020,all_forest,0.00293474,0.00195643,0.03013655,-0.01753856,0.02144977,28365874,25529.2866
2020,natural_forest,0.0027674,0.00195003,0.03354874,-0.01754758,0.02536021,15988289,14389.4601
2020,plantation_forest,0.0031509,0.00488547,0.02504859,-0.01268613,0.02049888,12377585,11139.8265
2021,all_forest,0.00080338,0.00097707,0.03487001,-0.02049894,0.02245254,28365889,25529.3001
2021,natural_forest,-0.00116058,-0.00097739,0.03892897,-0.02440573,0.02245303,15988304,14389.4736
2021,plantation_forest,0.00334026,0.00488411,0.02859321,-0.01463844,0.0224521,12377585,11139.8265
2022,all_forest,0.00512432,0.0058591,0.03639734,-0.01754092,0.02535345,28365889,25529.3001
2022,natural_forest,0.00676609,0.0058581,0.0415534,-0.01754831,0.03317081,15988304,14389.4736
2022,plantation_forest,0.00300362,0.00488296,0.02824219,-0.01268615,0.02050001,12377585,11139.8265
2023,all_forest,-0.00765801,-0.00585784,0.03352829,-0.02535326,0.01363186,28365883,25529.2947
2023,natural_forest,-0.00881039,-0.00975967,0.03870878,-0.03317052,0.01364174,15988298,14389.4682
2023,plantation_forest,-0.00616947,-0.0048824,0.02523544,-0.02049479,0.01072982,12377585,11139.8265
2024,all_forest,-0.00022002,-0.00195762,0.03373125,-0.02144278,0.01753663,28365888,25529.2992
2024,natural_forest,0.0010199,-0.00196366,0.03840138,-0.02145511,0.02145322,15988304,14389.4736
2024,plantation_forest,-0.00182165,-0.00097676,0.02642171,-0.0165897,0.0146374,12377584,11139.8256
