year,asset_id,export_description,export_status,band_names,scale,crs,notes
2000,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2000,LandsatComposite_2000,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: MJW2UK6RT33UDNZK5NZOIFRB
2001,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2001,LandsatComposite_2001,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: V7EDQNLGLN3KCRAYBUD5J6TZ
2002,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2002,LandsatComposite_2002,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: EROBVL4WUJC7XS6UEEYGFKBK
2003,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2003,LandsatComposite_2003,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: RDRCCSBH3WC22TSOC7UHRYXT
2004,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2004,LandsatComposite_2004,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: AFY5ODMMFA2ARJW2KSTLKRX5
2005,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2005,LandsatComposite_2005,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: BDAIOJQ23XLHBQJMGXCKDAFQ
2006,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2006,LandsatComposite_2006,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: BJTQ5BB4IM2ONOWZ22DE2IH6
2007,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2007,LandsatComposite_2007,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: IELAE5363XNUTZXVGFSK7YGI
2008,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2008,LandsatComposite_2008,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: ZV5WH6CWXNXR7WXJRUK2UAHD
2009,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2009,LandsatComposite_2009,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: E7CJP6XCZDNEAZ5U5OZNGRLV
2010,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2010,LandsatComposite_2010,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: O7SQEGPFJJFMUJHMQ7CBTAU7
2011,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2011,LandsatComposite_2011,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: 5I6AK2HRALW7EFNQVBI2PXQN
2012,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2012,LandsatComposite_2012,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: BMPVNAD6EKX2FHC5BVTV7NDA
2013,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2013,LandsatComposite_2013,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: VAOS22PUPRPB2CSVMNIZJVFL
2014,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2014,LandsatComposite_2014,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: 6GNLJBJGV6KB252EQINF6VK5
2015,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2015,LandsatComposite_2015,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: 2BWVQCDYUB3WEZU3SGLDX6UT
2016,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2016,LandsatComposite_2016,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: RNBA5VUUZA2URHG7VLDD4ASE
2017,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2017,LandsatComposite_2017,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: JRRWZPFXYXNIO4N2ZN5F5YWO
2018,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2018,LandsatComposite_2018,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: PSEWVXHYMWEYQ22PR6LW5XDQ
2019,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2019,LandsatComposite_2019,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: ACN4AI7VAZR7RTUC53ITUT53
2020,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2020,LandsatComposite_2020,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: UDE5EXP4PFPKSPXZ56UMUFCL
2021,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2021,LandsatComposite_2021,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: ZN7P5Q5WLXSXT43C7TGWM427
2022,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2022,LandsatComposite_2022,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: 6D3H3ULV3C25K5PF5JHPBRRL
2023,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2023,LandsatComposite_2023,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: 6EJF6LMR2XGVUW2QJMDAWGYN
2024,users/gyf/forest_csc_alphaearth/stage02_landsat/LandsatComposite_2024,LandsatComposite_2024,submitted,Blue;Green;Red;NIR;SWIR1;SWIR2,30,EPSG:4326,Submitted task ID: 6JMVDWYOUVWYTSX2Z6P34US7
